alcohol,malic_acid,color_intensity,proline,target
12.37,1.13,4.45,420.0,1
12.17,1.45,2.95,355.0,1
12.37,1.21,4.6,678.0,1
13.11,1.01,5.3,502.0,1
12.37,1.17,4.68,510.0,1
13.34,0.94,3.17,750.0,1
12.21,1.19,2.85,718.0,1
12.29,1.61,3.05,870.0,1
13.86,1.51,3.38,410.0,1
13.49,1.66,3.74,472.0,1
12.99,1.67,3.35,985.0,1
11.96,1.09,3.21,886.0,1
11.66,1.88,3.8,428.0,1
13.03,0.9,4.6,392.0,1
11.84,2.89,2.65,500.0,1
12.33,0.99,3.4,750.0,1
12.7,3.87,2.57,463.0,1
12.0,0.92,2.5,278.0,1
12.72,1.81,3.9,714.0,1
12.08,1.13,2.2,630.0,1
13.05,3.86,4.8,515.0,1
11.84,0.89,3.05,520.0,1
12.67,0.98,2.62,450.0,1
12.16,1.61,2.45,495.0,1
11.65,1.67,2.6,562.0,1
11.64,2.06,2.8,680.0,1
12.08,1.33,1.74,625.0,1
12.08,1.83,2.4,480.0,1
12.0,1.51,3.6,450.0,1
12.69,1.53,3.05,495.0,1
12.29,2.83,2.15,290.0,1
11.62,1.99,3.25,345.0,1
12.47,1.52,2.6,937.0,1
11.81,2.12,2.5,625.0,1
12.29,1.41,2.9,428.0,1
12.37,1.07,4.5,660.0,1
12.29,3.17,2.3,406.0,1
12.08,2.08,3.3,710.0,1
12.6,1.34,2.45,562.0,1
12.34,2.45,2.8,438.0,1
11.82,1.72,2.06,415.0,1
12.51,1.73,2.94,672.0,1
12.42,2.55,2.7,315.0,1
12.25,1.73,3.4,510.0,1
12.72,1.75,3.3,488.0,1
12.22,1.29,2.7,312.0,1
11.61,1.35,2.65,680.0,1
11.46,3.74,2.9,562.0,1
12.52,2.43,2.0,325.0,1
11.76,2.68,3.8,607.0,1
11.41,0.74,3.08,434.0,1
12.08,1.39,2.9,385.0,1
11.03,1.51,1.9,407.0,1
11.82,1.47,1.95,495.0,1
12.42,1.61,2.06,345.0,1
12.77,3.43,3.4,372.0,1
12.0,3.43,1.28,564.0,1
11.45,2.4,3.25,625.0,1
11.56,2.05,6.0,465.0,1
12.42,4.43,2.08,365.0,1
13.05,5.8,2.6,380.0,1
11.87,4.31,2.8,380.0,1
12.07,2.16,2.76,378.0,1
12.43,1.53,3.94,352.0,1
11.79,2.13,3.0,466.0,1
12.37,1.63,2.12,342.0,1
12.04,4.3,2.6,580.0,1
12.86,1.35,4.1,630.0,2
12.88,2.99,5.4,530.0,2
12.81,2.31,5.7,560.0,2
12.7,3.55,5.0,600.0,2
12.51,1.24,5.45,650.0,2
12.6,2.46,7.1,695.0,2
12.25,4.72,3.85,720.0,2
12.53,5.51,5.0,515.0,2
13.49,3.59,5.7,580.0,2
12.84,2.96,4.92,590.0,2
12.93,2.81,4.6,600.0,2
13.36,2.56,5.6,780.0,2
13.52,3.17,4.35,520.0,2
13.62,4.95,4.4,550.0,2
12.25,3.88,8.21,855.0,2
13.16,3.57,4.0,830.0,2
13.88,5.04,4.9,415.0,2
12.87,4.61,7.65,625.0,2
13.32,3.24,8.42,650.0,2
13.08,3.9,9.4,550.0,2
13.5,3.12,8.6,500.0,2
12.79,2.67,10.8,480.0,2
13.11,1.9,7.1,425.0,2
13.23,3.3,10.52,675.0,2
12.58,1.29,7.6,640.0,2
13.17,5.19,7.9,725.0,2
13.84,4.12,9.01,480.0,2
12.45,3.03,7.5,880.0,2
14.34,1.68,13.0,660.0,2
13.48,1.67,11.75,620.0,2
12.36,3.83,7.65,520.0,2
13.69,3.26,5.88,680.0,2
12.85,3.27,5.58,570.0,2
12.96,3.45,5.28,675.0,2
13.78,2.76,9.58,615.0,2
13.73,4.36,6.62,520.0,2
13.45,3.7,10.68,695.0,2
12.82,3.37,10.26,685.0,2
13.58,2.58,8.66,750.0,2
13.4,4.6,8.5,630.0,2
12.2,3.03,5.5,510.0,2
12.77,2.39,9.899999,470.0,2
14.16,2.51,9.7,660.0,2
13.71,5.65,7.7,740.0,2
13.4,3.91,7.3,750.0,2
13.27,4.28,10.2,835.0,2
13.17,2.59,9.3,840.0,2
14.13,4.1,9.2,560.0,2
